db_id,entry_id,description_ru,description_en,lang,is_def,sense_group,num
sense_d31e72,entry_qūg,корова,cow,,0,,
sense_d31e102,re_d31e97,коровья шкура,cowhide,,0,,
sense_d32e70,entry_ivar,запрет,prohibition,,0,sense_d32e69,
sense_d32e79,entry_ivar,штраф,fine,,0,sense_d32e69,
sense_d32e95,re_d32e89,запретный,forbidden,,0,sense_d32e94,
sense_d32e104,re_d32e89,запрещенный,unallowed,,0,sense_d32e94,
sense_d34e73,entry_adli,аршин,"arşın, arshine",,0,sense_d34e72,
sense_d34e82,entry_adli,,yard,,0,sense_d34e72,
sense_d35e72,entry_nyridægæn,уже теперь,already now,,0,,
sense_d36e73,entry_7rdyston,футляр для лука,bow case,,0,sense_d36e72,
sense_d36e82,entry_7rdyston,горит,gorytos,,0,sense_d36e72,
sense_d37e75,entry_razamynd,руководство,management,,0,sense_d37e74,
sense_d37e84,entry_razamynd,наставление,instruction,,0,sense_d37e74,
sense_d38e72,entry_kūsart,"животное, заколотое для трапезы",animal slaughtered for a meal,,0,,
sense_d38e92,re_d38e84,закалывать животное для трапезы согласно обычаю,slaughter an animal by tradition,,0,,
sense_d38e111,re_d38e103,"животное, предназначенное для заклания",animal destined for slaughter,,0,,
sense_d42e81,entry_mīzyn,течь,flow,,0,sense_d42e76,1
sense_d42e90,entry_mīzyn,протекать,leak,,0,sense_d42e76,1
sense_d42e99,entry_mīzyn,fluere,fluere,,0,sense_d42e76,1
sense_d42e132,entry_mīzyn,мочиться,urinate,,0,sense_d42e127,2
sense_d42e141,entry_mīzyn,mingere,mingere,,0,sense_d42e127,2
sense_d43e73,entry_kʼ0ybyr,бугор,hillock,,0,sense_d43e72,
sense_d43e82,entry_kʼ0ybyr,холмик,hummock,,0,sense_d43e72,
sense_d43e91,entry_kʼ0ybyr,почка (на деревьях),(tree) bud,,0,sense_d43e72,
sense_d43e100,entry_kʼ0ybyr,выпуклый,bulging,,0,sense_d43e72,
sense_d44e74,entry_qom_2,способный что-либо сделать,capable of doing anything,,0,,
sense_d44e93,re_d44e88,способный ходить,capable of walking,,0,,
sense_d44e111,re_d44e106,способный работать,capable of working,,0,,
sense_d46e72,entry_dæsæm,десятый,tenth,,0,,
sense_d48e76,entry_alǧac,сковородка с ручкой,frying pan with a handle,,0,,
sense_d50e73,entry_mūsong,пастушеский шалаш,shepherd’s hut,,0,sense_d50e72,
sense_d50e82,entry_mūsong,шалаш,hut,,0,sense_d50e72,
sense_d50e95,entry_mūsong,шатер,marquee,,0,sense_d50e72,
sense_d50e104,entry_mūsong,палатка,tent,,0,sense_d50e72,
sense_d51e98,entry_næryn,греметь,rattle,,0,,
sense_d51e393,re_d51e388,самогремящий,self-rattling,,0,,
sense_d52e70,entry_barz,куча,pile,,0,sense_d52e69,
sense_d52e79,entry_barz,возвышение,rising ground,,0,sense_d52e69,
sense_d52e88,entry_barz,курган,barrow,,0,sense_d52e69,
sense_d52e97,entry_barz,множество,multitude,,0,sense_d52e69,
sense_d52e112,re_d52e107,муравьиная куча,anthill,,0,,
sense_d52e128,re_d52e123,целые громады,whole masses,,0,,
sense_d57e72,entry_kʼæʒīl,хвост,tail,,0,,
sense_d59e72,entry_q0yran,коран,Quran,,0,,
sense_d60e76,entry_porti,мяч,ball,,0,,
sense_d60e205,re_d60e200,играть в мяч,play ball,,0,,
sense_d61e73,entry_bynʒar,основание,basis,,0,sense_d61e72,
sense_d61e82,entry_bynʒar,корень,root,,0,sense_d61e72,
sense_d61e101,re_d61e92,с корнем,to the root,,0,sense_d61e100,
sense_d61e110,re_d61e92,до тла,to the ground,,0,sense_d61e100,
sense_d62e72,entry_kʼæbælʒyg,курчавый,curly,,0,,
sense_d63e73,entry_fæsʒæwīn,"прислужник, -ица",servant,,0,sense_d63e72,
sense_d63e82,entry_fæsʒæwīn,слуга,maid,,0,sense_d63e72,
sense_d63e91,entry_fæsʒæwīn,служанка,,,0,sense_d63e72,
sense_d64e72,entry_fūtæg,лебеда садовая,garden orach,,0,,
sense_d69e72,entry_bynʒ,муха,fly,,0,,
sense_d69e90,re_d69e82,пчела,bee,,0,,
sense_d70e76,entry_ræjyn,лаять,bark,,0,,
sense_d70e93,re_d70e86,лай,barking,,0,,
sense_d72e75,entry_lædær,простофиля,simpleton,,0,sense_d72e74,
sense_d72e84,entry_lædær,"беспомощный, никчемный человек","a helpless, good-for-nothing person",,0,sense_d72e74,
sense_d72e99,re_d72e94,звёзды Б. Медведицы,stars of the Ursa Major,,0,,
sense_d74e73,entry_fænd,замысел,idea,,0,sense_d74e72,
sense_d74e82,entry_fænd,план,plan,,0,sense_d74e72,
sense_d74e91,entry_fænd,намерение,intention,,0,sense_d74e72,
sense_d74e100,entry_fænd,желание,desire,,0,sense_d74e72,
sense_d74e116,re_d74e110,замышлять,plot,,0,sense_d74e115,
sense_d74e125,re_d74e110,намереваться,intend,,0,sense_d74e115,
sense_d74e141,re_d74e136,единодушно,with one accord,,0,,
sense_d74e159,re_d74e153,своевольный,self-willed,,0,sense_d74e158,
sense_d74e168,re_d74e153,своенравный,wayward,,0,sense_d74e158,
sense_d74e177,re_d74e153,упрямый,stubborn,,0,sense_d74e158,
sense_d75e72,entry_cʼoj,рожь,rye,,0,,
sense_d77e72,entry_adæg,борона горская,highland harrow,,0,,
sense_d77e95,re_d77e90,боронить,harrow (v.),,0,,
sense_d79e73,entry_fændiag,желанный,desired,,0,sense_d79e72,
sense_d79e82,entry_fændiag,соответствующий желанию,meeting the desire,,0,sense_d79e72,
sense_d80e72,entry_fonʒyssæʒy,сто,hundred,,0,,
sense_d85e74,entry_g0yrko,жёлудь,acorn,,0,,
sense_d87e70,entry_æʒællag,находящийся в упадке,in decline,,0,sense_d87e69,
sense_d87e79,entry_æʒællag,разоренный,ruined,,0,sense_d87e69,
sense_d87e88,entry_æʒællag,разрушенный,destroyed,,0,sense_d87e69,
sense_d87e97,entry_æʒællag,бедственный,disastrous,,0,sense_d87e69,
sense_d87e106,entry_æʒællag,плачевный,deplorable,,0,sense_d87e69,
sense_d88e71,entry_ændīʒyn,"сваривать, спаивать (металл)","to weld, to solder",,0,,
sense_d88e86,entry_ændīʒyn,оправляться (после болезни),to recover (from illness),,0,sense_d88e85,
sense_d88e95,entry_ændīʒyn,поправляться,to get better,,0,sense_d88e85,
sense_d91e75,entry_rwajyn,сседаться,shrink,,0,sense_d91e74,
sense_d91e84,entry_rwajyn,ссыхаться,shrivel,,0,sense_d91e74,
sense_d91e93,entry_rwajyn,вянуть,wither,,0,sense_d91e74,
sense_d96e72,entry_ævdasarm,четверть бычьей или бараньей туши,a quarter of bull or lamb carcass,os-x-iron,0,sense_d96e69,
sense_d96e81,entry_ævdasarm,передняя нога с лопаткой и боком,a front leg with a shovel and a side,os-x-iron,0,sense_d96e69,
sense_d98e72,entry_īnnæ,другой (из двух),the other (of the two),,0,sense_d98e71,
sense_d98e81,entry_īnnæ,остальной,the remaining,,0,sense_d98e71,
sense_d98e98,re_d98e93,послезавтра,the day after tomorrow,,0,,
sense_d98e114,re_d98e109,в другую сторону,in the other direction,,0,,
sense_d98e130,re_d98e125,с другой стороны,on the other hand,,0,,
sense_d99e76,entry_berinʒun,зевать,yawn,,0,sense_d99e75,
sense_d99e85,entry_berinʒun,потягиваться,strech oneself,,0,sense_d99e75,
sense_d101e69,entry_goʒy-kʼax,ходуля,stilt,,0,,
sense_d101e84,re_d101e79,ходить на ходулях,walk on stilts,,0,,
sense_d102e70,entry_lopʼo,бесшерстный,hairless,,0,sense_d102e69,
sense_d102e81,entry_lopʼo,без перьев,featherless,,0,sense_d102e69,
sense_d102e90,entry_lopʼo,облезлый,mangy,,0,sense_d102e69,
sense_d102e99,entry_lopʼo,ощипанный,plucked,,0,sense_d102e69,
sense_d102e108,entry_lopʼo,облупленный,peeled,,0,sense_d102e69,
sense_d102e126,re_d102e118,"очищать от шерсти, перьев","clear of hair, feathers",,0,sense_d102e125,
sense_d102e137,re_d102e118,облупить,peel,,0,sense_d102e125,
sense_d103e73,entry_gærtam,взятка,bribe,,0,sense_d103e72,
sense_d103e82,entry_gærtam,подкуп,graft,,0,sense_d103e72,
sense_d103e97,re_d103e92,взяточник („взяткоед“),bribe-taker (“bribe-eater”),,0,,
sense_d105e70,entry_ræstmæ,на лад,(go) better (of things),,0,sense_d105e69,
sense_d105e79,entry_ræstmæ,успешно,successfully,,0,sense_d105e69,
sense_d105e88,entry_ræstmæ,удачно,happily,,0,sense_d105e69,
sense_d105e97,entry_ræstmæ,хорошо,well,,0,sense_d105e69,
sense_d105e106,entry_ræstmæ,хороший,good,,0,sense_d105e69,
sense_d105e115,entry_ræstmæ,приемлемый,acceptable,,0,sense_d105e69,
sense_d105e130,re_d105e125,ладиться,go better,,0,,
sense_d106e77,entry_baryn,взвешивать,weigh,,0,sense_baryn.1,1
sense_d106e86,entry_baryn,измерять,measure,,0,sense_baryn.1,1
sense_baryn.2,entry_baryn,прощать,forgive,,0,,2
sense_d107e74,entry_qyʒy,щекотка,tickling,,0,,
sense_d107e89,re_d107e84,щекотать,tickle,,0,,
sense_d108e72,entry_razængard,склонный,prone,,0,sense_d108e71,
sense_d108e81,entry_razængard,охотно делающий что-либо,willing to do something,,0,sense_d108e71,
sense_d108e97,re_d108e91,охотно,willingly,,0,sense_d108e96,
sense_d108e108,re_d108e91,с готовностью,with readiness,,0,sense_d108e96,
sense_d118e69,entry_faldær,дальше,farther,,0,,
sense_d119e76,entry_ajkʒæg,яичник,ovary,,0,,
sense_d120e69,entry_līvor,револьвер,revolver,,0,,
sense_d121e73,entry_ræz_2,летняя стоянка пастухов,summer camp of shepherds,,0,sense_d121e72,
sense_d121e86,entry_ræz_2,эйлаг,eylag,,0,sense_d121e72,
sense_d122e73,entry_ægongæj,не слушайся!,do not obey!,,0,sense_d122e72,
sense_d122e82,entry_ægongæj,не делай!,don't do it!,,0,sense_d122e72,
sense_d122e91,entry_ægongæj,неправда!,it's not true!,,0,sense_d122e72,
sense_d123e69,entry_dīn,религия,religion,,0,,
sense_d124e72,entry_bylamyq,мучная болтушка,thin flour dough,,0,,
sense_d125e72,entry_ruxæn,"название месяца, соответствующего примерно сентябрю",name of the month approximately corresponding to September,,1,,
sense_d125e82,re_d125e74,месяц сентябрь,the month of September,,0,,
sense_d126e72,entry_fyrt,сын,son,,0,,
sense_d127e72,entry_cʼæt,пружина,spring (device),,0,,
sense_d129e70,entry_dæxī,тебя самого,thyself (oblique),,0,sense_d129e69,
sense_d129e79,entry_dæxī,твой собственный,thy own,,0,sense_d129e69,
sense_d134e70,entry_mīnævar,"лицо, уполномоченное вести переговоры между двумя сторонами, например на войне, при примирении кровников, при сватовстве и пр.","person authorized to hold negotations between two sides, e.g. during wars, when reconciling parties in a feud, when match-making etc.",,0,sense_d134e69,
sense_d134e79,entry_mīnævar,посол,emissary,,0,sense_d134e69,
sense_d134e88,entry_mīnævar,посланец,messenger,,0,sense_d134e69,
sense_d134e97,entry_mīnævar,посланник,envoy,,0,sense_d134e69,
sense_d134e106,entry_mīnævar,посредник,intermediary,,0,sense_d134e69,
sense_d134e124,re_d134e116,посылать посредника,send an intermediary,,0,sense_d134e123,
sense_d134e135,re_d134e116,вступать в переговоры,enter into negotiations,,0,sense_d134e123,
sense_d137e69,entry_fonʒ,пять,five,,0,,
sense_d138e72,entry_dællagq0yr,передняя часть шеи ниже подбородка,a front part of the neck below the chin,,0,,
sense_d139e71,entry_būlkʼon,полковник,colonel,,0,,
sense_d143e69,entry_kʼori,шар,ball,,0,,
sense_d143e84,re_d143e79,земной шар,terrestrial globe,,0,,
sense_d144e72,entry_rændun,гладить,smooth (v.),,0,,
sense_d144e108,re_d144e103,гладилка,plane,,0,,
sense_d145e71,entry_atʼami,персик,peach,,0,,
sense_d146e75,entry_pæskʼu,клок,shred,,0,sense_d146e74,
sense_d146e84,entry_pæskʼu,клочок,scrap,,0,sense_d146e74,
sense_d148e73,entry_mængættæ,ложь,a lie,,0,sense_d148e72,
sense_d148e82,entry_mængættæ,неправда,falsehood,,0,sense_d148e72,
sense_d149e76,entry_læwærdun,"идти, пробиваясь через какую-нибудь массу, меся ногами (снег, землю)","make one’s way through some mass, wade through (snow, earth)",,0,,
sense_d152e73,entry_axær,страшный суд,last judgment,,0,sense_d152e72,
sense_d152e82,entry_axær,потоп,flood,,0,sense_d152e72,
sense_d152e97,re_d152e92,день страшного суда,doomsday,,0,,
sense_d153e76,entry_awazyn,прудить реку,dam (river),,0,,
sense_d153e92,re_d153e86,плотина,dam,,0,sense_d153e91,
sense_d153e101,re_d153e86,запруда,levee,,0,sense_d153e91,
sense_d157e72,entry_ærmkʼūx,рукавица,mitten,,0,,
sense_d158e79,entry_ævzīdun,замахиваться,to chop,,0,sense_d158e78,
sense_d158e88,entry_ævzīdun,потрясать рукой или оружием,to shake hand or weapon,,0,sense_d158e78,
sense_d158e97,entry_ævzīdun,грозить,to threaten,,0,sense_d158e78,
sense_d159e74,entry_fece,лохмотья,rags,,0,,
sense_d159e84,entry_fece,убогая одежда,wretched clothes,,0,,
sense_d159e94,entry_fece,одетый в лохмотья,dressed in rags,,0,,
sense_d160e73,entry_madta,в таком случае,in this case,,0,sense_d160e72,
sense_d160e82,entry_madta,ну так…,"well, so…",,0,sense_d160e72,
sense_d161e69,entry_matara,мех для воды,waterskin,,0,,
sense_d162e74,entry_fīdīs,попрек,reproach,,0,,
sense_d162e90,re_d162e84,попрекать,reproach,,0,sense_d162e89,
sense_d162e99,re_d162e84,позорить,disgrace,,0,sense_d162e89,
sense_d162e115,re_d162e110,безупречный,irreproachable,,0,,
sense_d163e72,entry_murzæg,часть туши,part of a carcass,,0,,
sense_d167e69,entry_fat,стрела,arrow,,0,,
sense_d167e79,entry_fat,пуля,bullet,os-x-digor,0,,
sense_d167e100,re_d167e95,колчан,quiver,,0,,
sense_d169e69,entry_bardan,большой мешок для шерсти,big bag for wool,,0,,
sense_d171e69,entry_ævǵīl,"шест с подвешенной бараньей или козлиной шкурой, культового назначения, употребляется в праздник громового божества Уацилла","A pole with a hanging lamb or goatskin skin, a cult purpose, it is used on the feast of the thundering deity Watsilla",,0,,
sense_d175e71,entry_ʒormæ,колбаса (из тонких кишок),sausage (made of small guts),,0,,
sense_d177e73,entry_aldymbyd,тесьма шелковая,"silk ribbon, trim",,0,sense_d177e72,
sense_d177e82,entry_aldymbyd,"галун (которым обшивают края черкески, башлыка, чувяков, ноговиц и пр.)","galloon (which is used to welt the edges of a Circassian coat, bashlyk, chuvyaks, gaiters, etc.)",,0,sense_d177e72,
sense_d178e71,entry_bærdyn,поршень маслобойки,plunger of the butter churn,,0,,
sense_d180e74,entry_æpparyn,бросать,to throw,,0,,
sense_d181e75,entry_ædemonæj,безотчетно,instinctively,,0,sense_d181e74,
sense_d181e84,entry_ædemonæj,необдуманно,thoughtlessly,,0,sense_d181e74,
sense_d187e70,entry_arx,сук,bough,,0,sense_d187e69,
sense_d187e79,entry_arx,затвердение в древесине в месте выхода сучка,knag,,0,sense_d187e69,
sense_d190e79,entry_læxūryn,крупно молоть,grind coarsely,,0,sense_d190e78,
sense_d190e88,entry_læxūryn,schroten,crush (grain),,0,sense_d190e78,
sense_d190e98,entry_læxūryn,болтать вздор,speak nonsense,,0,,
sense_d191e70,entry_artæn,нижняя часть живота (внутренности),lower abdomen (entrails),,0,sense_d191e69,
sense_d191e79,entry_artæn,кишки,intestine,,0,sense_d191e69,
sense_d191e98,re_d191e93,тонкие кишки,small intestine,,0,,
sense_d194e70,entry_max,мы,we,,0,sense_d194e69,
sense_d194e79,entry_max,нас,us,,0,sense_d194e69,
sense_d194e88,entry_max,наш,our,,0,sense_d194e69,
sense_d194e104,re_d194e98,наш,ours,,0,sense_d194e103,
sense_d194e115,re_d194e98,le nôtre,le nôtre,,0,sense_d194e103,
sense_d195e72,entry_ʒæbug,молоток,hammel,,0,,
sense_d196e77,entry_ǵīwyn,прозябать,vegetate,,0,sense_d196e76,
sense_d196e86,entry_ǵīwyn,маяться в жалких условиях,suffer in miserable conditions,,0,sense_d196e76,
sense_d197e72,entry_dysalǧ,подкладка на краях рука,lining at the edges of the sleeves,,0,,
sense_d199e77,entry_æxxæssyn,достигать,reach,,0,sense_d199e76,
sense_d199e94,entry_æxxæssyn,хватить,suffice,,0,sense_d199e76,
sense_d203e73,entry_īwvazyg,одинарный,single,,0,sense_d203e72,
sense_d203e82,entry_īwvazyg,не сдвоенный,not double,,0,sense_d203e72,
sense_d203e92,entry_īwvazyg,несложный,simple,,0,,
sense_d205e72,entry_iʒæǧnæ,трут,tinder,,0,,
sense_d208e69,entry_8bar,ездить верхом,ride,,0,,
sense_d209e71,entry_bæzæn,помет крупных домашних животных,excrements of big domestic animals,,0,,
sense_d211e73,entry_bylyzdūx,скручивание губы,lip twisting,,0,sense_d211e72,
sense_d211e82,entry_bylyzdūx,закрутка,twitch,,0,sense_d211e72,
sense_d212e72,entry_gollag,мешок,sack,,0,,
sense_d213e70,entry_cam,стыд,shame,,0,sense_d213e69,
sense_d213e79,entry_cam,конфуз,embarrassment,,0,sense_d213e69,
sense_d214e72,entry_cyppūrs,"название зимнего праздника, в христианской среде приуроченного к рождеству","the name of the winter holiday, timed to coincide with Christmas in the Christian religion",,1,,
sense_d216e85,re_d216e73,утаивать,conceal,,0,sense_d216e84,
sense_d216e94,re_d216e73,замалчивать,hush up,,0,sense_d216e84,
sense_d216e103,re_d216e73,не давать огласки,not go public,,0,sense_d216e84,
sense_d218e73,entry_cʼass,щель,chink,,0,sense_d218e72,
sense_d218e82,entry_cʼass,скважина,well,,0,sense_d218e72,
sense_d218e91,entry_cʼass,ущелье,gorge,,0,sense_d218e72,
sense_d218e100,entry_cʼass,дыра,hole,,0,sense_d218e72,
sense_d218e136,re_d218e130,горная глушь,mountain thicket,,0,sense_d218e135,
sense_d218e145,re_d218e130,горная трущоба,mountain hovel,,0,sense_d218e135,
sense_d218e163,re_d218e156,ноздря,nostril,,0,,
sense_d219e69,entry_mængvædæg,курок,trigger,,0,,
sense_d220e72,entry_bærc,мера,"measure, degree",,0,,
sense_d222e73,entry_ḱesena,замок,castle,,0,sense_d222e72,
sense_d222e90,entry_ḱesena,дом,house,,0,sense_d222e72,
sense_d225e80,entry_kænyn,делать,to do,,0,,
sense_d225e103,re_d225e98,кричать,to shout,,0,,
sense_d225e127,re_d225e122,забывать,to forget,,0,,
sense_d225e143,re_d225e138,радоваться,to be happy,,0,,
sense_d225e160,re_d225e155,завидовать,to envy,,0,,
sense_d225e177,re_d225e171,учить,to teach,,0,sense_d225e176,
sense_d225e186,re_d225e171,учиться,to study,,0,sense_d225e176,
sense_d225e202,re_d225e197,приближать(ся),to approach,,0,,
sense_d227e72,entry_karʒyd,пожилой,elderly,,0,,
sense_d229e81,entry_7ǧzælyn,сыпаться,to pour,,0,sense_d229e80,
sense_d229e90,entry_7ǧzælyn,осыпаться,to fall,,0,sense_d229e80,
sense_d229e99,entry_7ǧzælyn,капать,to drop,,0,sense_d229e80,
sense_d229e115,re_d229e109,"то, что осыпалось, пролилось, капнуло",thing that fell or spilled,,0,sense_d229e114,
sense_d229e124,re_d229e109,кроха,crumb,,0,sense_d229e114,
sense_d229e133,re_d229e109,зерно,seed,,0,sense_d229e114,
sense_d229e142,re_d229e109,кровавый след,blood trace,,0,sense_d229e114,
sense_d229e337,re_d229e329,мясо,meat,,0,,
sense_d230e69,entry_bændæn,веревка,rope,,0,,
sense_d231e73,entry_egar,борзая собака,greyhound dog,,0,,
sense_d232e73,entry_barqom,достигший правоспособного возраста,achieved an eligible age,,0,sense_d232e72,
sense_d232e82,entry_barqom,правоспособный,eligible,,0,sense_d232e72,
sense_d233e72,entry_qriqupp,журавль,crane,,0,,
sense_d234e70,entry_narst,жирный,fat,,0,sense_d234e69,
sense_d234e79,entry_narst,полный,plump,,0,sense_d234e69,
sense_d235e69,entry_idæʒ,вдова,widow,,0,,
sense_d235e86,re_d235e81,вдовец,widower,,0,,
sense_d235e102,re_d235e97,вдова,widow,,0,,
sense_d236e72,entry_kæxc,"большая неглубокая деревянная чаша, миска",large shallow wooden bowl,,0,,
sense_d236e90,re_d236e82,череп,skull,,0,,
sense_d236e148,re_d236e143,праздник в честь новорожденных мальчиков,holiday in honor of newborn boys,,0,,
sense_d237e69,entry_æstaj,восемьдесят,eighty,,0,,
sense_d238e73,entry_irux,лицо,face,,0,sense_d238e72,
sense_d238e82,entry_irux,внимание,attention,,0,sense_d238e72,
sense_d238e99,re_d238e92,поворачиваться лицом к чему или кому-либо,to turn one's face towards someone or something,,0,,
sense_d239e73,entry_bal_2,вишня,cherry,,0,sense_d239e72,
sense_d239e82,entry_bal_2,черешня,sweet cherry,,0,sense_d239e72,
sense_d246e72,entry_mogo6r9,"мостовой бык, устой","bridge pier, abutment",os-x-iron,0,,1
sense_d246e90,entry_mogo6r9,"столб, поддерживающий главную потолочную балку",pillar that supports the main ceiling beam,,0,,2
sense_d247e69,entry_ændaræn,место осенней пастбы овец,a place for an autumn sheep pasture,,0,,
sense_d248e77,entry_nyxasyn,клеить,glue,,0,sense_d248e76,
sense_d248e86,entry_nyxasyn,приклеивать,stick with glue,,0,sense_d248e76,
sense_d248e95,entry_nyxasyn,паять,solder,,0,sense_d248e76,
sense_d249e73,entry_ḱʼīrī,лепешка,flatbread,,0,sense_d249e72,
sense_d249e82,entry_ḱʼīrī,пирог с сыром,pie with cheese,,0,sense_d249e72,
sense_d249e100,re_d249e92,"предназначенное для ḱʼīrī (мука, тесто, сыр)","intended for %iḱʼīrī%i (flour, dough, cheese)",,0,,
sense_d249e116,re_d249e111,"деревянная форма, которой наносится узор на %iḱʼīrī%i",wooden form with which a pattern is applied on %iḱʼīrī%i,,0,,
sense_d249e140,re_d249e135,мальва,mallow,,0,,
sense_d249e222,re_d249e217,коленная чашечка,kneecap,,0,,
sense_d250e70,entry_nad_1,побитый,beaten,,0,sense_d250e69,
sense_d250e79,entry_nad_1,побои,beating,,0,sense_d250e69,
sense_d250e100,re_d250e93,жестокие побои,violent beating,,0,,
sense_d250e119,re_d250e114,черные побои,black beating,,0,,
sense_d253e69,entry_fallag,находящийся на той стороне,being on the other side,,0,,
sense_d253e84,re_d253e79,та (противоположная) сторона,that (opposite) side,,0,,
sense_d263e73,entry_dūǧwat,ристалище,tiltyard,,0,sense_d263e72,
sense_d263e82,entry_dūǧwat,ипподром,hippodrome,,0,sense_d263e72,
sense_d266e72,entry_komraz,тампон,tampon,,0,,
sense_d269e72,entry_kopraʒ,синька для стирки,blueing,,0,,
sense_d270e72,entry_qæstæl,сыворотка,whey,,0,,
sense_d273e73,entry_q0ymyz,молозиво,colostrum,,0,sense_d273e72,
sense_d273e82,entry_q0ymyz,"молоко непосредственно после родов, после отела","milk immediately after birth, after calving",,0,sense_d273e72,
sense_d274e73,entry_mælʒoj,еле живой,barely alive,,0,sense_d274e72,
sense_d274e82,entry_mælʒoj,вялый,sluggish,,0,sense_d274e72,
sense_d275e73,entry_kʼæmʒæstyg,пристыженный,ashamed,,0,sense_d275e72,
sense_d275e82,entry_kʼæmʒæstyg,сконфуженный,abashed,,0,sense_d275e72,
sense_d276e73,entry_ardwan,терпуг,rock trout,,0,sense_d276e72,
sense_d276e82,entry_ardwan,рашпиль,grater,,0,sense_d276e72,
sense_d277e70,entry_dæræn,"разбросанное, неубранное сено","scattered, not gathered hay",,0,sense_d277e69,
sense_d277e79,entry_dæræn,"раскиданные, несвязанные снопы","scattered, unbound sheaves",,0,sense_d277e69,
sense_d277e89,entry_dæræn,разгром,defeat,,0,,
sense_d277e109,re_d277e103,разбрасывать,scatter,,0,sense_d277e108,
sense_d277e118,re_d277e103,раскидать,throw out,,0,sense_d277e108,
sense_d277e127,re_d277e103,"громить (например, врага)","smash (for example, enemy)",,0,sense_d277e108,
sense_d278e77,entry_ævzyjyn,"выпадать, лезть(о волосах)","come out, fall out (of hair)",,0,sense_d278e76,
sense_d278e86,entry_ævzyjyn,чахнуть,pine,,0,sense_d278e76,
sense_d280e70,entry_fælaxs,стертый,rubbed off,,0,sense_d280e69,
sense_d280e79,entry_fælaxs,осунувшийся,haggard,,0,sense_d280e69,
sense_d280e88,entry_fælaxs,исхудалый,gaunt,,0,sense_d280e69,
sense_d282e76,entry_æznæmun,шарахаться,rush aside,,0,,
sense_d283e72,entry_rætænaǧd,оглобля,shaft,,0,,
sense_d284e72,entry_myrrytt,бранное выражение,expression of abuse,,1,,
sense_d285e72,entry_dert,скорбь,sorrow,,0,,
sense_d287e72,entry_Amistol,название летнего месяца (июнь—июль),the name of a summer month (June-July),,1,,
sense_d289e69,entry_ændax,нитка,thread,,0,,
sense_d291e75,entry_læggad,услужение,servitude,,0,sense_d291e74,
sense_d291e84,entry_læggad,прислуживание,attendance,,0,sense_d291e74,
sense_d291e93,entry_læggad,услуга,service,,0,sense_d291e74,
sense_d291e108,re_læggad_kænyn,"прислуживать, служить кому-либо","attend to, serve smb.",,0,,
sense_d291e127,re_læggadgænæg,прислуживающий,attendant,,0,sense_d291e126,
sense_d291e138,re_læggadgænæg,слуга,servant,,0,sense_d291e126,
sense_d293e72,entry_k0yroj,мельница,mill,,0,,
sense_d293e92,re_d293e84,мельник,miller,,0,,
sense_d293e111,re_d293e103,"место (%iwat%i), где была мельница","place (%iwat%i), where the mill was",,0,,
sense_d293e127,re_d293e122,идущий на мельницу,going to the mill,,0,,
sense_d293e143,re_d293e138,мельничный ручей,mill stream,,0,,
sense_d293e182,re_d293e177,ручная мельница,handmill,,0,,
sense_d294e77,entry_otemæj,так,so,os-x-digor,0,sense_d294e76,
