db_id,entry_id,example_group,lang,num,text,tr_ru,tr_en
example_d29e93,entry_læʒæg,exampleGrp_d29e91,,,"īftong xyzynæj, læʒægæj, ærḱʼītæj…","снабженный сумой, палкой, (обувью) арчи…","equipped by a bag, stick, archi shoes…"
example_d29e121,entry_læʒæg,exampleGrp_d29e91,,,Narty nyxasmæ racydīs Wyryzmæg dywwæ læʒæǵy ʽncoj,"на нартовский нихас вышел Урузмаг, опираясь на две палки","to the council of the Narts came Uruzmag, leaning on two sticks"
example_d29e144,entry_læʒæg,exampleGrp_d29e91,,,"æmæ syn bafæʒæxsta, cæmæj fændagmæ macy ajsoj ærmæst læʒæǵy jæddæmæ","и заповедал им ничего не брать в дорогу, кроме одного посоха","and commanded them that they should take nothing for their journey, save a staff only"
example_d29e170,entry_læʒæg,exampleGrp_d29e91,,,"mæ kʼūxy kæj axæsson, axæm læʒæg myn sarazūt","сделайте мне такую палку, которую я мог бы нести в руке",make me such a stick that I can carry it in my hand
example_d29e193,entry_læʒæg,exampleGrp_d29e91,,,æfsænbyn læʒægīmæ xattæn,я скитался с палкой с железным наконечником (низом),I traveled with a stick with an iron tip (bottom)
example_d29e223,entry_læʒæg,exampleGrp_d29e91,,,Dysa ‘mæ Maskʼa k˳yʒ æmæ læʒæǵy card kodtoj,Дыса и Маска жили как собака с палкой,Dysa and Maska lived like a dog and a stick
example_d29e246,entry_læʒæg,exampleGrp_d29e91,os-x-digor,,ævžestæ læʒæg æ galew kʼoxi,в левой руке у него серебряная палка,he has a silver stick in his left hand
example_d29e275,entry_læʒæg,exampleGrp_d29e91,os-x-digor,,færwæ læʒgutæ sæ kʼoxi,ольховые палки у них в руках,alder sticks in their hands
example_d29e301,entry_læʒæg,exampleGrp_d29e91,os-x-digor,,æ raxez kʼoxi æ fæjjaw læʒæg,в правой руке у него пастушеский посох,"in his right hand, a shepherd’s staff"
example_d29e327,entry_læʒæg,exampleGrp_d29e91,os-x-digor,,"ærbaduncæ tærxoni æd læʒgutæ, æd qæmatæ","рассаживаются на судилище с палками, с кинжалами","they sit down at the judgement ground with staffs, with daggers"
example_d29e353,entry_læʒæg,exampleGrp_d29e91,,,nillæwdtæj læʒægæncojnæj,"он остановился, опираясь на палку","he stopped, leaning on a stick"
example_d29e377,entry_læʒæg,exampleGrp_d29e91,os-x-digor,,æ læʒguti ird mæjæ dær ærwaʒidæ næ astæw,ясный месяц опускал свои лучи (палки) в нашу середину,a clear moon let its rays (sticks) down in our midst
example_d29e409,entry_læʒæg,exampleGrp_d29e91,os-x-digor,,xor æ læʒgutæ kud ærwaǧta…,когда солнце опустило свои лучи…,when the sun let its beams down…
example_d31e117,entry_qūg,exampleGrp_d31e115,,,"næ fydy qalon: kark kæmæ i — sædæ karḱy, fys kæmæ i — sædæ fysy, qūg kæmæ i — sædæ qūǵy, gal kæmæ i — sædæ galy, bæx kæmæ i — sædæ bæxy","дань нашего отца: у кого есть куры — сто кур, у кого есть овцы — сто овец, у кого есть коровы — сто коров, у кого есть быки — сто быков, у кого есть кони — сто коней","tribute of our father: who has chickens — a hundred chickens, who has sheep — a hundred sheep, who has cows — a hundred cows, who has bulls — a hundred bulls, who has horses — a hundred horses"
example_d31e140,entry_qūg,exampleGrp_d31e115,,,"æxsænkʼ… qūgmæ bacydī: qūg, æxsyr radd","блоха пошла к корове: корова, дай молока","the flea went to the cow: cow, give milk"
example_d31e163,entry_qūg,exampleGrp_d31e115,,,Fati qūccytæ dūcynmæ acyd,Фати пошла доить коров,Fati went to milk the cows
example_d31e181,entry_qūg,exampleGrp_d31e115,os-x-digor,,"ew osæmæ baqærtʒænæ: duwwæ ǧogi docuj, sædæ ǧogi bereket in si es","ты дойдёшь до одной женщины: она доит двух коров, а проку (изобилия) у нее от них (как) от ста коров","you will come to one woman: she milks two cows, and she has the benefit (abundance) from them (as) from a hundred cows"
example_d31e207,entry_qūg,exampleGrp_d31e115,,,skænis qūgʒarmæj ærḱʼītæ,ты справил бы себе из коровьей шкуры (обувь) ærḱʼī,you would have made yourself (shoes) ærḱʼī of cowhide
example_d32e136,entry_ivar,exampleGrp_d32e115,os-x-digor,,"tærxondænttæ kosuncæ, ivar kænuncæ fudginti","судьи работают, карают преступников",judges work and punish criminals
example_d34e90,entry_adli,exampleGrp_d34e88,,,rajsta Dotti ærtæ adlijy ǵīppæj fyst,взял Дотти три аршина ситцу,Dotti took three arshines of calico
example_d35e132,entry_nyridægæn,exampleGrp_d35e82,,,æcæg dyn zæǧyn: nyridægæn wyʒynæ nemae ʒænæty,истинно говорю тебе: ныне же будешь со мною в раю,"verily I say unto thee, To day shalt thou be with me in paradise"
example_d36e125,entry_7rdyston,exampleGrp_d36e123,,,"fexson, zæǧgæ, k˳yd zaǧta, aftæ jæ fat ja kʼūxtæj ærxawdī, je ʽrdyston dær fæjnærdæm axawdta, jæ fættæ nyppyrx sty","как только он сказал: дай, выстрелю, — как стрела выпала у него из рук, и горит его развалился, его стрелы рассыпались","as soon as he said, let me shoot, the arrow fell out of his hands, and his gorytos fell apart, his arrows scattered"
example_d37e96,entry_razamynd,exampleGrp_d37e94,os-x-digor,,ærcæwuncæ sæmæ æma sin sæ kustæn razamund dædduncæ,приходят к ним и дают им наставления в их работе,they come to them and instruct them in their work
example_d38e125,entry_kūsart,exampleGrp_d38e123,,,æxsævy Copan kūsart akodta jæ wazægæn,ночью Цопан зарезал для гостя (барана),At night Tsopan stabbed (a ram) for a guest
example_d38e144,entry_kūsart,exampleGrp_d38e123,os-x-digor,,du eci sæǧi… rakosart kænæ,ты зарежь ту козу,slaughter that goat
example_d38e166,entry_kūsart,exampleGrp_d38e123,os-x-digor,,osongi razmæ muddarti kæstær rakosart kodta bor nælfus,перед шалашом младший из пасечников зарезал желтого барана,the youngest of the beekeepers stabbed a yellow sheep in front of a hut
example_d38e188,entry_kūsart,exampleGrp_d38e123,,,æz fæjjæwttæm kūsærttagmæ ssydtæn,"я поднялся к пастухам, чтобы (достать) барана на зарез",I went up to the shepherds to (get) a ram to slaughter
example_d38e207,entry_kūsart,exampleGrp_d38e123,,,max bærægbon ænæ kūsart nīk˳y væjjæm,мы никогда не бываем в праздник без %skusart%s,we are never on holiday without %skusart%s
example_d42e224,entry_mīzyn,exampleGrp_d42e222,,1,ag mīzy,котел протекает,the cauldron leaks
example_d42e243,entry_mīzyn,exampleGrp_d42e222,,1,"mæ cæstysyg donaw myztī, mæ zærdæ fyrcīnæj ryztī, k˳y skastæn næ cʼītīǵyn xæxtæm","мои слезы текли как вода, мое сердце трепетало от избытка радости, когда я взглянул на наши (покрытые) ледниками горы","my tears were flowing like water, my heart palpitated from excess joy when I looked at our (covered by) glacier mountains"
example_d42e268,entry_mīzyn,exampleGrp_d42e222,,1,æxsīdgæ saw tug jæ færstæj cyxcyrægaw myzt,горячая (кипящая) черная кровь лилась ручьями с его боков,hot (boiling) black water flowed in streams from his sides
example_d42e296,entry_mīzyn,exampleGrp_d42e222,os-x-digor,1,tog miztæj alli ʽrdigi,кровь текла со всех сторон,blood flowed from all sides
example_d42e330,entry_mīzyn,exampleGrp_d42e328,,2,Wastyrǵī… xælafyl dūry wælæmæ fæmyzta; stæj ūmæj dūry g˳ybyny bacydī ūd,"Уастырджи помочился на штаны (Шатаны), (лежавшие) поверх камня; и тогда от этого в утробу камня вошла душа","Wastyrdži urinated on the trousers (of Satana), (which were lying) over the stone; and then from this into the womb of the stone entered a soul"
example_d42e355,entry_mīzyn,exampleGrp_d42e328,,2,Cerekaty aficer Botasæj tærsgæjæ jæ waty k˳y myzta,"офицер Цереков, боясь Ботаса, мочился у себя в комнате","the officer Tserekaty, afraid of Botas, urinate in his own room"
example_d43e112,entry_kʼ0ybyr,exampleGrp_d43e110,,,"mīt nywwaryd, xæxtæj saw kʼ˳ybyr nal fæzynd","выпал обильный снег, в горах не стало видно ни одного черного бугорка","the heavy snow has fallen, not a single black hillock was visible in the mountains"
example_d43e131,entry_kʼ0ybyr,exampleGrp_d43e110,,,k˳ybyræj iw læg ærzynd,с холма показался один человек,one man appeared from the hill
example_d43e150,entry_kʼ0ybyr,exampleGrp_d43e110,,,Ajssæ kʼ˳ybyræj fæawwon īs,Айсса скрылась за бугром,Aissa hid behind a hill
example_d43e169,entry_kʼ0ybyr,exampleGrp_d43e110,,,Sadullæ jæ kʼ˳ybyr rīxītæ azdyxta,Садулла покрутил свои пухлые усы,Sadulla twisted his puffy mustache
example_d43e188,entry_kʼ0ybyr,exampleGrp_d43e110,,,"walʒæg k˳y ʽrbalæwwy, bælas kʼ˳ybyr kænyn wæd bajdajy","когда наступает весна, тогда дерево начинает распускать почки","when spring comes, the tree begins to open its buds"
example_d44e127,entry_qom_2,exampleGrp_d44e125,,,ʒæbæx zæǧynqom ne stæm,мы не способны (не умеем) сказать как следует,we are not able (not capable) to say properly
example_d44e150,entry_qom_2,exampleGrp_d44e125,,,Sadullæ kūsynqom næ wyd,Садулла был нетрудоспособен,Sadullah was incapacitated
example_d44e173,entry_qom_2,exampleGrp_d44e125,,,lævarqom ū!,будь способен делать (людям) подарки!,be able to give gifts (to people)!
example_d44e191,entry_qom_2,exampleGrp_d44e125,,,…calynmæ fæjjawqom yswa…,"…пока он (подрастет настолько, что) сможет стать пастухом",…until he (grows up so much that) he can become a shepherd
example_d44e214,entry_qom_2,exampleGrp_d44e125,,,"Bætæg fæsīdt jæ myggagmæ, cydæriddær ʒy wydī xæstqom æmæ wynaffæqom ūdonmæ","Батаг обратился с призывом к своему роду (фамилии), ко всем, кто был там способен сражаться и участвовать на совете","Batag appealed to his family, to all who were able to fight there and participate in the council"
example_d44e238,entry_qom_2,exampleGrp_d44e125,,,"cæwynqom ḱī ū, cæwgæ rakænæd, carwynqom ḱī næw, — xæssgæ jæ rakænut","кто способен ходить, пусть придет, кто ходить не способен, того несите","whoever is able to walk, let him come, whoever is not able to walk, carry him"
example_d44e259,entry_qom_2,exampleGrp_d44e125,,,fat æmæ ʽrdynæj qazynqom k˳y fæcī…,"когда он (подрос настолько, что) стал способен играть в стрелу и лук…",when he (grew up so much that) he became able to play arrow and bow…
example_d44e282,entry_qom_2,exampleGrp_d44e125,os-x-digor,,"æ kʼaxbæl cæwunǧon kadær adtæj, etæ arcudæncæ","все, кто был способен ходить на ногах, те пришли","all those who were able to walk on their feet, those came"
example_d44e308,entry_qom_2,exampleGrp_d44e125,os-x-digor,,Dada ʒorunǧon næbal adtæj,Дадо уже не в силах был говорить,Dado was no longer able to speak
example_d44e334,entry_qom_2,exampleGrp_d44e125,os-x-digor,,omæn neke scæj ʒwapǧon,никто не сумел ему ответить,no one was able to answer him
example_d44e360,entry_qom_2,exampleGrp_d44e125,os-x-digor,,"æz dæw xwærztæ, dæw qiamættæn ne ʽswoʒænæn fedunǧon, æz dæ citæ, dæ namustæn næ bawoʒæn (sic!) arfæǧon","я не смогу воздать тебе за твое добро, твои труды, не смогу принести благодарность, (соответствующую моему) к тебе уважению и почтению","I will not be able to repay you for your kindness, your labours, I will not be able to bring gratitude (corresponding to my) respect and reverence for you"
example_d44e391,entry_qom_2,exampleGrp_d44e125,os-x-digor,,æz dæw xæccæ faxxwæcunǧon næ dæn,я не в силах побороться с тобой,I cannot fight you
example_d44e420,entry_qom_2,exampleGrp_d44e125,os-x-digor,,fat æma ærdunæj ǧazunǧon iscæj,он стал способен играть в лук и стрелы,he became able to play bow and arrow
example_d48e88,entry_alǧac,exampleGrp_d48e86,os-x-digor,,ciwanæj ʒalǧawinʒitæ,чугунные сковороды,cast iron griddles
example_d48e110,entry_alǧac,exampleGrp_d48e86,,,"xastoj wærdættæm… ajdæntæ, ḱyryntæ, bandættæ, agtæ, alǧactæ, tæbæǧtæ","несли на арбы зеркала, сундуки, стулья, котлы, сковороды, тарелки","mirrors, chests, chairs, cauldrons, griddles, plates were carried on carts"
example_d50e116,entry_mūsong,exampleGrp_d50e114,,,xæxxon ræǧawdaræn… mūsong… Gazakk bady mūsonǵy,горное стойбище табуна… шалаш… Газакк сидит в шалаше,mountain pasture of the herd… a hut… Gazakk is sitting in the hut
example_d50e142,entry_mūsong,exampleGrp_d50e114,,,ūm skænat syrdʒærmttæj mūsong,там устройте из звериных шкур шалаш,there make a hut out of animal hides
example_d50e166,entry_mūsong,exampleGrp_d50e114,,,avd fændaǵy astæw mūsong yskæn,меж семи дорог раскинь шатер,between seven roads place a tent
example_d50e191,entry_mūsong,exampleGrp_d50e114,,,fændaggæron ræsuǧd cʼæx næwwyl kættag mūsong ysdardta ūrs,у дороги на красивой зеленой траве забелел полотняный шатер,by the road on beautiful green grass a white linen tent appeared (lit. a linen tent picked up white)
example_d50e222,entry_mūsong,exampleGrp_d50e114,,,wædæ bydyry brigædtæn mūsængtæ cættæ sty?,готовы ли палатки для полевых бригад?,are the tents for field brigades ready?
example_d51e110,entry_næryn,exampleGrp_d51e108,,,arv næry,гром (буквально небо) гремит,it (literally sky) thunders
example_d51e137,entry_næryn,exampleGrp_d51e108,,,arv kæmdær næry,где-то гремит гром,it thunders somewhere
example_d51e161,entry_næryn,exampleGrp_d51e108,,,arv nynnæryd,гром загремел,thunder rumbled
example_d51e185,entry_næryn,exampleGrp_d51e108,,,adæmy farnæj Wægæx dær nynnæry,farn народа даже скалу заставит загреметь,the farn of the people will make rattle even the rock
example_d51e214,entry_næryn,exampleGrp_d51e108,,,"Bætæjy færdygʒyx qyrimag galaw wasyd…, Tuǧany eræʒypp ænæræncajgæjæ arvaw nærydī","крымское (ружье) Бата с украшенным дулом ревело, как бык, eræʒypp (вид ружья) Тугана не переставая гремел, как гром (небо)","Bataʼs Crimean (gun) with a decorated muzzle roared like a bull, Tughanʼs eræʒypp (type of gun) roared like thunder (sky) without ceasing"
example_d51e249,entry_næryn,exampleGrp_d51e108,,,"toppy qæræj kæmttæ ærvnærægæw kodtoj, bæstæ arydta","от гула ружейной (стрельбы) ущелья оглашались как громом небесным, все вокруг гудело","from the rumble of a gun (shooting) the canyons resounded like heavenly thunder, everything around was buzzing"
example_d51e274,entry_næryn,exampleGrp_d51e108,os-x-digor,,saw ǧædræbunti arvi nærun wæd ærcæwuj,над темными лесными опушками раздается тогда небесный гром,then heavenly thunder is heard over the dark forest edges
example_d51e305,entry_næryn,exampleGrp_d51e108,os-x-digor,,"don arvi nærunaw gurgur gængæ, dortæ æ razæj tærgæ racæwuj","река, гремя, как гром небесный, гоня перед собой камни, несется","the river thunders like heavenly thunder, rushes chasing stones before it"
example_d51e333,entry_næryn,exampleGrp_d51e108,os-x-digor,,dæ zard… arvaw togesunmæ nærdtæj,"твоя песня гремела, как гром, (призывая) к мести","your song roared like thunder, (calling) for revenge"
example_d51e360,entry_næryn,exampleGrp_d51e108,os-x-digor,,…cæmæj… arvaw næ toxi ninnæra,"…чтобы (песня) в нашей борьбе загремела, как гром небесный",…so that (the song) of our struggle thundered like heavenly thunder
example_d51e411,entry_næryn,exampleGrp_d51e407,,,mæ kʼūlyl īs xædnærgæ topp æmæ xædkærdgæ kard,у меня на стене самогремящее ружье и самосекущий меч,I have a self-clattering gun and a self-cutting sword on my wall
example_d52e141,entry_barz,exampleGrp_d52e139,,,uxstitæ … mulʒug bærzi nikʼkʼwærdta,он воткнул вертелы в муравьиную кучу,he put spits in the anthill
example_d52e156,entry_barz,exampleGrp_d52e139,,,mænæ ʽj mulʒug bærzbæl baivardton,вот я положил его на муравьиную кучу,here I put it on the anthill
example_d52e171,entry_barz,exampleGrp_d52e139,,,mulʒugi bærzmæ batuxstæj i mard,труп очутился на муравьиной куче,a corpse appeared in the anthill
example_d57e84,entry_kʼæʒīl,exampleGrp_d57e82,,,rūvasæn jæ kæʒīl — je ʽvdīsæn,лисице ее хвост служит свидетелем (в ее пользу),fox's tail serves as a witness to it (in it's favor)
example_d57e103,entry_kʼæʒīl,exampleGrp_d57e82,,,īw ran mæ bæxy kʼæʒīl cæwyldær fæxæcyd,в одном месте хвост моей лошади за что-то зацепился,the tail of my horse caught on something in one place
example_d57e122,entry_kʼæʒīl,exampleGrp_d57e82,,,stæj jæ ænærdyst bæxy kʼæʒīlyl babastoj,потом привязали ее к хвосту нехолощеного коня,then she was tied to the tail of an uncastrated horse
example_d57e141,entry_kʼæʒīl,exampleGrp_d57e82,,,sæ kʼæʒilttæj %i(sic!)%i sæxe ævælmæcgæj ǧæwaj kænuncæ,хвостами они без устали отбиваются (от слепней),they tirelessly fight off with their tails (from horseflies)
example_d59e84,entry_q0yran,exampleGrp_d59e82,,,q˳yran-ḱetappy stæn,клянусь книгой кораном,I swear by the book of the Quran
example_d59e108,entry_q0yran,exampleGrp_d59e82,os-x-digor,,"qurænttæ, mælektistæn, Xæmic læg æj, ænæ dawæ læg","клянусь коранами (и) ангелами, Хамиц — (настоящий) мужчина, мужчина без упрека","I swear by the qurans (and) angels, Hamitz is a real man, a man without reproach"
example_d60e105,entry_porti,exampleGrp_d60e103,,,"kæs ma Biberdmæ, portijaw k˳yd xawy","смотри-ка на Биберда, прыгает, как мяч","Look at Biberd, he is jumping like a ball"
example_d60e130,entry_porti,exampleGrp_d60e103,,,bajdydta syǵzærīn portijy fædyl cæwyn læppū,юноша стал следовать за золотым мячом,the young man began to follow the golden ball
example_d60e153,entry_porti,exampleGrp_d60e103,,,Qūdy abyrǵytæ sarmaʒany næmyg purti x˳ydtoj,кудские абреки называли пушечное ядро мячиком (т. е. ни во что не ставили),The Kuda abreks called the cannonball a ball (i.e. they did not care about it)
example_d60e176,entry_porti,exampleGrp_d60e103,,,jæxī purtijy zyvvytt fælasta,"он метнул себя, как мяч",he threw himself like a ball
example_d61e123,entry_bynʒar,exampleGrp_d61e121,,,dymgæ bælas bynʒaræj ystydta,ветер вырвал дерево с корнем,the wind rooted a tree away
example_d61e138,entry_bynʒar,exampleGrp_d61e121,os-x-digor,,isafæn cʼolberti bunʒaræj,истребим кровопийц с корнем,let's destroy blood-suckers to the root
example_d61e160,entry_bynʒar,exampleGrp_d61e121,os-x-digor,,basoʒʒænæj ædbunʒærttæj i cʼæx pursajna cæxær,с корнем выжжет зеленую крапиву наш огонь,our fire will burn down green nettle
example_d62e84,entry_kʼæbælʒyg,exampleGrp_d62e82,,,kardy kom bakʼæbælʒyg,лезвие получило зазубрину,the blade got notched
example_d62e116,entry_kʼæbælʒyg,exampleGrp_d62e82,,,kizgudti zærditæ imæ bakʼæbælzug uncæ,девичьи сердца (при виде) его сжимаются,girl's hearts shrink at the sight of him
example_d63e99,entry_fæsʒæwīn,exampleGrp_d63e97,,,galwanæj racyd ældar jæ fæsʒæwīntīmæ,из дворца вышел алдар со своими слугами,the %ialdar%i left the palace with his servants
example_d63e114,entry_fæsʒæwīn,exampleGrp_d63e97,os-x-digor,,i fæsʒæwinæ kizgæ Akulaj ʒurdmæ kud næ iǧustajdæ,девушка-служанка как могла не повиноваться слову Акулы,how could the maid girl disobey Akula's word
example_d63e136,entry_fæsʒæwīn,exampleGrp_d63e97,os-x-digor,,æ fæsʒæwinæ imæ rarvetuj,посылает к нему свою служанку,he sends his maid to him
example_d69e103,entry_bynʒ,exampleGrp_d69e101,,,"zalmy syftætīlync, bynʒ næ waʒync ʽvvaxs…","помахивают листьями лопуха, не подпускают близко мухи","they are wagging burdock leaves, do not let a fly come closer"
example_d69e122,entry_bynʒ,exampleGrp_d69e101,os-x-digor,,dessag adtæj mudi binʒitæmæ kæsun,удивительно было смотреть на пчел,watching bees was amazing
example_d69e144,entry_bynʒ,exampleGrp_d69e101,,,jæ fædyl nybbynʒ ī,понесся („как муха“) вслед за ним,"[he] rushed after him (""like a fly"")"
example_d70e108,entry_ræjyn,exampleGrp_d70e106,,,xærgæ-xæryn k˳yʒdær næ ræjy,во время еды и собака не лает,even the dog does not bark while eating
example_d70e130,entry_ræjyn,exampleGrp_d70e106,,,(zæppaʒæj) cydīs syvællony kæwyn æmæ bajraǵy wasyn æmæ kʼæbylajy ræjyn,"из склепа раздавался плач ребенка, ржанье жеребенка и лай щенка","the cry of a child, the neighing of a foal, and the barking of a puppy were heard from the crypt"
example_d70e154,entry_ræjyn,exampleGrp_d70e106,,,"Dotti ajq˳ysta bæxty kʼæxty qær, stæj k˳yʒy ræjyn","Дотти услышал топот коней, потом лай собаки","Dottie heard horses stomping, then dogs barking"
example_d70e178,entry_ræjyn,exampleGrp_d70e106,,,Azawyl kujtæ ʽsræjdtoj,собаки залаяли на Азау,dogs started barking at Azau
example_d70e202,entry_ræjyn,exampleGrp_d70e106,,,k˳yʒaw ræjynmæ dæsny dæ,"ты искусна лаять, как собака",you are skilled at barking like a dog
example_d70e228,entry_ræjyn,exampleGrp_d70e106,os-x-digor,,"ew gaccamæ baqærtʒænæ, nadbæl dærǧæmæ xussuj, æ xurfæj æ kʼæbustæ ræjuncæ","ты дойдешь до одной суки, она лежит растянувшись на дороге, (а) из ее утробы лают ее щенки","you will reach one doggess, she is lying stretched out on the road, (and) her puppies are barking from her womb"
example_d74e190,entry_fænd,exampleGrp_d74e188,,,"mæ zond, mæ fændyl næ læwwy kæstær","младший не следует моим мыслям, моим планам",the junior doesn't follow my thoughts and my plans
example_d74e209,entry_fænd,exampleGrp_d74e188,,,amaræm æj īsty fændæj,убьем его какой-нибудь хитростью,let's kill him with some trick
example_d74e228,entry_fænd,exampleGrp_d74e188,,,dywwæ znaǵy īw fænd næ kænync,у двух врагов нет одного намерения,two enemies do not have the same intention
example_d74e246,entry_fænd,exampleGrp_d74e188,,,ravzar dæxi fændæj,выбери по собственному желанию,choose at your own will
